1,2016-01-22-46,5.0
2,2016-01-22-46,0.0
3,2016-01-22-46,0.0
4,2016-01-22-46,13.0
5,2016-01-22-46,0.0
6,2016-01-22-46,13.0
7,2016-01-22-46,32.0
8,2016-01-22-46,310.0
9,2016-01-22-46,2.0
10,2016-01-22-46,2.0
11,2016-01-22-46,3.0
12,2016-01-22-46,23.0
13,2016-01-22-46,0.0
14,2016-01-22-46,80.0
16,2016-01-22-46,0.0
17,2016-01-22-46,0.0
18,2016-01-22-46,1.0
19,2016-01-22-46,1.0
20,2016-01-22-46,3.0
21,2016-01-22-46,2.0
22,2016-01-22-46,5.0
23,2016-01-22-46,167.0
24,2016-01-22-46,165.0
25,2016-01-22-46,1.0
26,2016-01-22-46,12.0
27,2016-01-22-46,13.0
28,2016-01-22-46,9.0
29,2016-01-22-46,4.0
31,2016-01-22-46,4.0
32,2016-01-22-46,0.0
33,2016-01-22-46,0.0
34,2016-01-22-46,1.0
35,2016-01-22-46,0.0
36,2016-01-22-46,0.0
37,2016-01-22-46,93.0
38,2016-01-22-46,8.0
39,2016-01-22-46,0.0
40,2016-01-22-46,1.0
41,2016-01-22-46,1.0
42,2016-01-22-46,4.0
44,2016-01-22-46,1.0
45,2016-01-22-46,0.0
46,2016-01-22-46,209.0
47,2016-01-22-46,2.0
48,2016-01-22-46,34.0
49,2016-01-22-46,0.0
51,2016-01-22-46,32.0
53,2016-01-22-46,1.0
54,2016-01-22-46,0.0
56,2016-01-22-46,0.0
57,2016-01-22-46,0.0
58,2016-01-22-46,0.0
59,2016-01-22-46,5.0
60,2016-01-22-46,0.0
61,2016-01-22-46,0.0
64,2016-01-22-46,0.0
65,2016-01-22-46,0.0
66,2016-01-22-46,0.0
1,2016-01-22-58,5.0
2,2016-01-22-58,0.0
3,2016-01-22-58,1.0
4,2016-01-22-58,77.0
5,2016-01-22-58,1.0
6,2016-01-22-58,31.0
7,2016-01-22-58,18.0
8,2016-01-22-58,186.0
9,2016-01-22-58,6.0
10,2016-01-22-58,4.0
11,2016-01-22-58,1.0
12,2016-01-22-58,4.0
13,2016-01-22-58,1.0
14,2016-01-22-58,6.0
